wind speed (m/s);significant wave height (m)
0.0;0.0
0.0;0.05
0.0;0.1
0.0;0.15000000000000002
0.0;0.2
0.0;0.25
0.0;0.30000000000000004
0.0;0.35000000000000003
0.0;0.4
0.0;0.45
0.0;0.5
0.0;0.55
0.0;0.6000000000000001
0.0;0.65
0.0;0.7000000000000001
0.0;0.75
0.0;0.8
0.0;0.8500000000000001
0.0;0.9
0.0;0.9500000000000001
0.0;1.0
0.0;1.05
0.0;1.1
0.05;1.1
0.05;1.1500000000000001
0.05;1.2000000000000002
0.05;1.25
0.05;1.3
0.1;1.3
0.1;1.35
0.1;1.4000000000000001
0.15000000000000002;1.4000000000000001
0.15000000000000002;1.4500000000000002
0.2;1.4500000000000002
0.2;1.5
0.25;1.5
0.25;1.55
0.30000000000000004;1.55
0.30000000000000004;1.6
0.35000000000000003;1.6
0.35000000000000003;1.6500000000000001
0.4;1.6500000000000001
0.4;1.7000000000000002
0.45;1.7000000000000002
0.45;1.75
0.45;1.8
0.5;1.8
0.5;1.85
0.55;1.85
0.55;1.9000000000000001
0.6000000000000001;1.9000000000000001
0.6000000000000001;1.9500000000000002
0.65;1.9500000000000002
0.65;2.0
0.7000000000000001;2.0
0.7000000000000001;2.0500000000000003
0.75;2.0500000000000003
0.75;2.1
0.8;2.1
0.8;2.15
0.8500000000000001;2.15
0.8500000000000001;2.2
0.8500000000000001;2.25
0.9;2.25
0.9;2.3000000000000003
0.9500000000000001;2.3000000000000003
0.9500000000000001;2.35
1.0;2.35
1.0;2.4000000000000004
1.05;2.4000000000000004
1.05;2.45
1.1;2.45
1.1;2.5
1.1500000000000001;2.5
1.1500000000000001;2.5500000000000003
1.1500000000000001;2.6
1.2000000000000002;2.6
1.2000000000000002;2.6500000000000004
1.25;2.6500000000000004
1.25;2.7
1.3;2.7
1.3;2.75
1.35;2.75
1.35;2.8000000000000003
1.4000000000000001;2.8000000000000003
1.4000000000000001;2.85
1.4500000000000002;2.85
1.4500000000000002;2.9000000000000004
1.4500000000000002;2.95
1.5;2.95
1.5;3.0
1.55;3.0
1.55;3.0500000000000003
1.6;3.0500000000000003
1.6;3.1
1.6500000000000001;3.1
1.6500000000000001;3.1500000000000004
1.7000000000000002;3.1500000000000004
1.7000000000000002;3.2
1.75;3.2
1.75;3.25
1.8;3.25
1.8;3.3000000000000003
1.8;3.35
1.85;3.35
1.85;3.4000000000000004
1.9000000000000001;3.4000000000000004
1.9000000000000001;3.45
1.9500000000000002;3.45
1.9500000000000002;3.5
2.0;3.5
2.0;3.5500000000000003
2.0500000000000003;3.5500000000000003
2.0500000000000003;3.6
2.1;3.6
2.1;3.6500000000000004
2.15;3.6500000000000004
2.15;3.7
2.2;3.7
2.2;3.75
2.25;3.75
2.25;3.8000000000000003
2.3000000000000003;3.8000000000000003
2.3000000000000003;3.85
2.35;3.85
2.35;3.9000000000000004
2.4000000000000004;3.9000000000000004
2.4000000000000004;3.95
2.45;3.95
2.45;4.0
2.5;4.0
2.5;4.05
2.5500000000000003;4.05
2.5500000000000003;4.1000000000000005
2.6;4.1000000000000005
2.6;4.15
2.6500000000000004;4.15
2.6500000000000004;4.2
2.7;4.2
2.7;4.25
2.75;4.25
2.75;4.3
2.8000000000000003;4.3
2.8000000000000003;4.3500000000000005
2.85;4.3500000000000005
2.85;4.4
2.9000000000000004;4.4
2.9000000000000004;4.45
2.95;4.45
2.95;4.5
3.0;4.5
3.0;4.55
3.0500000000000003;4.55
3.1;4.55
3.1;4.6000000000000005
3.1500000000000004;4.6000000000000005
3.1500000000000004;4.65
3.2;4.65
3.2;4.7
3.25;4.7
3.25;4.75
3.3000000000000003;4.75
3.35;4.75
3.35;4.800000000000001
3.4000000000000004;4.800000000000001
3.4000000000000004;4.8500000000000005
3.45;4.8500000000000005
3.45;4.9
3.5;4.9
3.5;4.95
3.5500000000000003;4.95
3.6;4.95
3.6;5.0
3.6500000000000004;5.0
3.6500000000000004;5.050000000000001
3.7;5.050000000000001
3.75;5.050000000000001
3.75;5.1000000000000005
3.8000000000000003;5.1000000000000005
3.8000000000000003;5.15
3.85;5.15
3.9000000000000004;5.15
3.9000000000000004;5.2
3.95;5.2
3.95;5.25
4.0;5.25
4.05;5.25
4.05;5.300000000000001
4.1000000000000005;5.300000000000001
4.15;5.300000000000001
4.15;5.3500000000000005
4.2;5.3500000000000005
4.2;5.4
4.25;5.4
4.3;5.4
4.3;5.45
4.3500000000000005;5.45
4.4;5.45
4.4;5.5
4.45;5.5
4.5;5.5
4.5;5.550000000000001
4.55;5.550000000000001
4.6000000000000005;5.550000000000001
4.6000000000000005;5.6000000000000005
4.65;5.6000000000000005
4.7;5.6000000000000005
4.7;5.65
4.75;5.65
4.800000000000001;5.65
4.800000000000001;5.7
4.8500000000000005;5.7
4.9;5.7
4.95;5.7
4.95;5.75
5.0;5.75
5.050000000000001;5.75
5.050000000000001;5.800000000000001
5.1000000000000005;5.800000000000001
5.15;5.800000000000001
5.2;5.800000000000001
5.2;5.8500000000000005
5.25;5.8500000000000005
5.300000000000001;5.8500000000000005
5.3500000000000005;5.8500000000000005
5.3500000000000005;5.9
5.4;5.9
5.45;5.9
5.45;5.95
5.5;5.95
5.550000000000001;5.95
5.6000000000000005;5.95
5.65;5.95
5.65;6.0
5.7;6.0
5.75;6.0
5.800000000000001;6.0
5.800000000000001;6.050000000000001
5.8500000000000005;6.050000000000001
5.9;6.050000000000001
5.95;6.050000000000001
6.0;6.050000000000001
6.0;6.1000000000000005
6.050000000000001;6.1000000000000005
6.1000000000000005;6.1000000000000005
6.15;6.1000000000000005
6.2;6.1000000000000005
6.2;6.15
6.25;6.15
6.300000000000001;6.15
6.3500000000000005;6.15
6.4;6.15
6.4;6.2
6.45;6.2
6.5;6.2
6.550000000000001;6.2
6.6000000000000005;6.2
6.65;6.2
6.65;6.25
6.7;6.25
6.75;6.25
6.800000000000001;6.25
6.8500000000000005;6.25
6.9;6.25
6.9;6.300000000000001
6.95;6.300000000000001
7.0;6.300000000000001
7.050000000000001;6.300000000000001
7.1000000000000005;6.300000000000001
7.15;6.300000000000001
7.2;6.300000000000001
7.2;6.3500000000000005
7.25;6.3500000000000005
7.300000000000001;6.3500000000000005
7.3500000000000005;6.3500000000000005
7.4;6.3500000000000005
7.45;6.3500000000000005
7.5;6.3500000000000005
7.5;6.4
7.550000000000001;6.4
7.6000000000000005;6.4
7.65;6.4
7.7;6.4
7.75;6.4
7.800000000000001;6.4
7.800000000000001;6.45
7.8500000000000005;6.45
7.9;6.45
7.95;6.45
8.0;6.45
8.05;6.45
8.1;6.45
8.1;6.5
8.15;6.5
8.200000000000001;6.5
8.25;6.5
8.3;6.5
8.35;6.5
8.4;6.5
8.450000000000001;6.5
8.450000000000001;6.550000000000001
8.5;6.550000000000001
8.55;6.550000000000001
8.6;6.550000000000001
8.65;6.550000000000001
8.700000000000001;6.550000000000001
8.75;6.550000000000001
8.75;6.6000000000000005
8.8;6.6000000000000005
8.85;6.6000000000000005
8.9;6.6000000000000005
8.950000000000001;6.6000000000000005
9.0;6.6000000000000005
9.05;6.6000000000000005
9.05;6.65
9.1;6.65
9.15;6.65
9.200000000000001;6.65
9.25;6.65
9.3;6.65
9.35;6.65
9.35;6.7
9.4;6.7
