significant wave height (m);zero-up-crossing period (s)
0.15000000000000002;1.1500000000000001
0.15000000000000002;1.2000000000000002
0.1;1.2000000000000002
0.1;1.25
0.1;1.3
0.1;1.35
0.1;1.4000000000000001
0.1;1.4500000000000002
0.1;1.5
0.1;1.55
0.1;1.6
0.1;1.6500000000000001
0.1;1.7000000000000002
0.1;1.75
0.1;1.8
0.1;1.85
0.1;1.9000000000000001
0.1;1.9500000000000002
0.1;2.0
0.1;2.0500000000000003
0.1;2.1
0.1;2.15
0.1;2.2
0.1;2.25
0.1;2.3000000000000003
0.1;2.35
0.1;2.4000000000000004
0.1;2.45
0.1;2.5
0.1;2.5500000000000003
0.1;2.6
0.1;2.6500000000000004
0.1;2.7
0.1;2.75
0.1;2.8000000000000003
0.1;2.85
0.1;2.9000000000000004
0.1;2.95
0.1;3.0
0.1;3.0500000000000003
0.1;3.1
0.1;3.1500000000000004
0.1;3.2
0.1;3.25
0.1;3.3000000000000003
0.1;3.35
0.1;3.4000000000000004
0.1;3.45
0.1;3.5
0.1;3.5500000000000003
0.1;3.6
0.1;3.6500000000000004
0.1;3.7
0.1;3.75
0.1;3.8000000000000003
0.1;3.85
0.1;3.9000000000000004
0.1;3.95
0.1;4.0
0.1;4.05
0.1;4.1000000000000005
0.1;4.15
0.1;4.2
0.1;4.25
0.1;4.3
0.1;4.3500000000000005
0.1;4.4
0.1;4.45
0.1;4.5
0.1;4.55
0.1;4.6000000000000005
0.1;4.65
0.1;4.7
0.1;4.75
0.1;4.800000000000001
0.1;4.8500000000000005
0.1;4.9
0.1;4.95
0.1;5.0
0.1;5.050000000000001
0.1;5.1000000000000005
0.1;5.15
0.1;5.2
0.1;5.25
0.1;5.300000000000001
0.1;5.3500000000000005
0.1;5.4
0.1;5.45
0.1;5.5
0.1;5.550000000000001
0.1;5.6000000000000005
0.1;5.65
0.1;5.7
0.1;5.75
0.1;5.800000000000001
0.1;5.8500000000000005
0.1;5.9
0.1;5.95
0.1;6.0
0.1;6.050000000000001
0.1;6.1000000000000005
0.1;6.15
0.1;6.2
0.1;6.25
0.1;6.300000000000001
0.1;6.3500000000000005
0.1;6.4
0.1;6.45
0.1;6.5
0.1;6.550000000000001
0.1;6.6000000000000005
0.1;6.65
0.1;6.7
0.1;6.75
0.1;6.800000000000001
0.1;6.8500000000000005
0.1;6.9
0.1;6.95
0.1;7.0
0.1;7.050000000000001
0.1;7.1000000000000005
0.1;7.15
0.1;7.2
0.1;7.25
0.1;7.300000000000001
0.1;7.3500000000000005
0.1;7.4
0.1;7.45
0.1;7.5
0.1;7.550000000000001
0.1;7.6000000000000005
0.1;7.65
0.1;7.7
0.1;7.75
0.1;7.800000000000001
0.1;7.8500000000000005
0.1;7.9
0.1;7.95
0.1;8.0
0.1;8.05
0.1;8.1
0.1;8.15
0.1;8.200000000000001
0.1;8.25
0.1;8.3
0.1;8.35
0.1;8.4
0.1;8.450000000000001
0.1;8.5
0.1;8.55
0.1;8.6
0.1;8.65
0.1;8.700000000000001
0.1;8.75
0.1;8.8
0.1;8.85
0.1;8.9
0.1;8.950000000000001
0.1;9.0
0.1;9.05
0.1;9.1
0.1;9.15
0.1;9.200000000000001
0.1;9.25
0.1;9.3
0.1;9.35
0.1;9.4
0.1;9.450000000000001
0.1;9.5
0.1;9.55
0.1;9.600000000000001
0.1;9.65
0.1;9.700000000000001
0.1;9.75
0.1;9.8
0.1;9.850000000000001
0.1;9.9
0.1;9.950000000000001
0.1;10.0
0.1;10.05
0.1;10.100000000000001
0.1;10.15
0.1;10.200000000000001
0.1;10.25
0.1;10.3
0.1;10.350000000000001
0.1;10.4
0.1;10.450000000000001
0.1;10.5
0.1;10.55
0.1;10.600000000000001
0.1;10.65
0.1;10.700000000000001
0.1;10.75
0.1;10.8
0.1;10.850000000000001
0.1;10.9
0.1;10.950000000000001
0.1;11.0
0.1;11.05
0.1;11.100000000000001
0.1;11.15
0.1;11.200000000000001
0.1;11.25
0.1;11.3
0.1;11.350000000000001
0.1;11.4
0.1;11.450000000000001
0.1;11.5
0.1;11.55
0.1;11.600000000000001
0.1;11.65
0.1;11.700000000000001
0.1;11.75
0.1;11.8
0.1;11.850000000000001
0.1;11.9
0.1;11.950000000000001
0.1;12.0
0.1;12.05
0.1;12.100000000000001
0.1;12.15
0.1;12.200000000000001
0.1;12.25
0.1;12.3
0.1;12.350000000000001
0.15000000000000002;12.350000000000001
0.15000000000000002;12.4
0.15000000000000002;12.450000000000001
0.15000000000000002;12.5
0.15000000000000002;12.55
0.15000000000000002;12.600000000000001
0.15000000000000002;12.65
0.15000000000000002;12.700000000000001
0.15000000000000002;12.75
0.15000000000000002;12.8
0.15000000000000002;12.850000000000001
0.15000000000000002;12.9
0.15000000000000002;12.950000000000001
0.15000000000000002;13.0
0.15000000000000002;13.05
0.15000000000000002;13.100000000000001
0.15000000000000002;13.15
0.15000000000000002;13.200000000000001
0.15000000000000002;13.25
0.15000000000000002;13.3
0.15000000000000002;13.350000000000001
0.15000000000000002;13.4
0.15000000000000002;13.450000000000001
0.15000000000000002;13.5
0.15000000000000002;13.55
0.15000000000000002;13.600000000000001
0.15000000000000002;13.65
0.15000000000000002;13.700000000000001
0.15000000000000002;13.75
0.15000000000000002;13.8
0.2;13.8
0.2;13.850000000000001
0.2;13.9
0.2;13.950000000000001
0.2;14.0
0.2;14.05
0.2;14.100000000000001
0.2;14.15
0.2;14.200000000000001
0.25;14.200000000000001
0.25;14.25
0.25;14.3
0.25;14.350000000000001
0.25;14.4
0.30000000000000004;14.4
0.30000000000000004;14.450000000000001
0.35000000000000003;14.450000000000001
0.35000000000000003;14.5
0.4;14.5
0.45;14.5
0.45;14.450000000000001
0.5;14.450000000000001
0.5;14.4
0.55;14.4
0.55;14.350000000000001
0.6000000000000001;14.350000000000001
0.6000000000000001;14.3
0.65;14.3
0.65;14.25
0.65;14.200000000000001
0.7000000000000001;14.200000000000001
0.7000000000000001;14.15
0.75;14.15
0.75;14.100000000000001
0.75;14.05
0.8;14.05
0.8;14.0
0.8;13.950000000000001
0.8500000000000001;13.950000000000001
0.8500000000000001;13.9
0.9;13.9
0.9;13.850000000000001
0.9;13.8
0.9500000000000001;13.8
0.9500000000000001;13.75
0.9500000000000001;13.700000000000001
1.0;13.700000000000001
1.0;13.65
1.0;13.600000000000001
1.05;13.600000000000001
1.05;13.55
1.05;13.5
1.1;13.5
1.1;13.450000000000001
1.1500000000000001;13.450000000000001
1.1500000000000001;13.4
1.1500000000000001;13.350000000000001
1.2000000000000002;13.350000000000001
1.2000000000000002;13.3
1.2000000000000002;13.25
1.25;13.25
1.25;13.200000000000001
1.25;13.15
1.3;13.15
1.3;13.100000000000001
1.35;13.100000000000001
1.35;13.05
1.35;13.0
1.4000000000000001;13.0
1.4000000000000001;12.950000000000001
1.4000000000000001;12.9
1.4500000000000002;12.9
1.4500000000000002;12.850000000000001
1.5;12.850000000000001
1.5;12.8
1.5;12.75
1.55;12.75
1.55;12.700000000000001
1.55;12.65
1.6;12.65
1.6;12.600000000000001
1.6500000000000001;12.600000000000001
1.6500000000000001;12.55
1.6500000000000001;12.5
1.7000000000000002;12.5
1.7000000000000002;12.450000000000001
1.7000000000000002;12.4
1.75;12.4
1.75;12.350000000000001
1.8;12.350000000000001
1.8;12.3
1.8;12.25
1.85;12.25
1.85;12.200000000000001
1.9000000000000001;12.200000000000001
1.9000000000000001;12.15
1.9000000000000001;12.100000000000001
1.9500000000000002;12.100000000000001
1.9500000000000002;12.05
2.0;12.05
2.0;12.0
2.0;11.950000000000001
2.0500000000000003;11.950000000000001
2.0500000000000003;11.9
2.1;11.9
2.1;11.850000000000001
2.15;11.850000000000001
2.15;11.8
2.15;11.75
2.2;11.75
2.2;11.700000000000001
2.25;11.700000000000001
2.25;11.65
2.25;11.600000000000001
2.3000000000000003;11.600000000000001
2.3000000000000003;11.55
2.35;11.55
2.35;11.5
2.4000000000000004;11.5
2.4000000000000004;11.450000000000001
2.4000000000000004;11.4
2.45;11.4
2.45;11.350000000000001
2.5;11.350000000000001
2.5;11.3
2.5500000000000003;11.3
2.5500000000000003;11.25
2.6;11.25
2.6;11.200000000000001
2.6;11.15
2.6500000000000004;11.15
2.6500000000000004;11.100000000000001
2.7;11.100000000000001
2.7;11.05
2.75;11.05
2.75;11.0
2.8000000000000003;11.0
2.8000000000000003;10.950000000000001
2.8000000000000003;10.9
2.85;10.9
2.85;10.850000000000001
2.9000000000000004;10.850000000000001
2.9000000000000004;10.8
2.95;10.8
2.95;10.75
3.0;10.75
3.0;10.700000000000001
3.0500000000000003;10.700000000000001
3.0500000000000003;10.65
3.0500000000000003;10.600000000000001
3.1;10.600000000000001
3.1;10.55
3.1500000000000004;10.55
3.1500000000000004;10.5
3.2;10.5
3.2;10.450000000000001
3.25;10.450000000000001
3.25;10.4
3.3000000000000003;10.4
3.3000000000000003;10.350000000000001
3.35;10.350000000000001
3.35;10.3
3.4000000000000004;10.3
3.4000000000000004;10.25
3.4000000000000004;10.200000000000001
3.45;10.200000000000001
3.45;10.15
3.5;10.15
3.5;10.100000000000001
3.5500000000000003;10.100000000000001
3.5500000000000003;10.05
3.6;10.05
3.6;10.0
3.6500000000000004;10.0
3.6500000000000004;9.950000000000001
3.7;9.950000000000001
3.7;9.9
3.7;9.850000000000001
3.75;9.850000000000001
3.75;9.8
3.8000000000000003;9.8
3.8000000000000003;9.75
3.85;9.75
3.85;9.700000000000001
3.9000000000000004;9.700000000000001
3.9000000000000004;9.65
3.95;9.65
3.95;9.600000000000001
3.95;9.55
4.0;9.55
4.0;9.5
4.05;9.5
4.05;9.450000000000001
4.1000000000000005;9.450000000000001
4.1000000000000005;9.4
4.1000000000000005;9.35
4.15;9.35
4.15;9.3
4.2;9.3
4.2;9.25
4.25;9.25
4.25;9.200000000000001
4.25;9.15
4.3;9.15
4.3;9.1
4.3500000000000005;9.1
4.3500000000000005;9.05
4.3500000000000005;9.0
4.4;9.0
4.4;8.950000000000001
4.45;8.950000000000001
4.45;8.9
4.45;8.85
4.5;8.85
4.5;8.8
4.5;8.75
4.55;8.75
4.55;8.700000000000001
4.55;8.65
4.6000000000000005;8.65
4.6000000000000005;8.6
4.6000000000000005;8.55
4.65;8.55
4.65;8.5
4.65;8.450000000000001
4.7;8.450000000000001
4.7;8.4
4.7;8.35
4.7;8.3
4.75;8.3
4.75;8.25
4.75;8.200000000000001
4.75;8.15
4.800000000000001;8.15
4.800000000000001;8.1
4.800000000000001;8.05
4.800000000000001;8.0
4.800000000000001;7.95
4.800000000000001;7.9
4.8500000000000005;7.9
4.8500000000000005;7.8500000000000005
4.8500000000000005;7.800000000000001
4.8500000000000005;7.75
4.8500000000000005;7.7
4.8500000000000005;7.65
4.8500000000000005;7.6000000000000005
4.8500000000000005;7.550000000000001
4.8500000000000005;7.5
4.8500000000000005;7.45
4.8500000000000005;7.4
4.8500000000000005;7.3500000000000005
4.8500000000000005;7.300000000000001
4.8500000000000005;7.25
4.800000000000001;7.25
4.800000000000001;7.2
4.800000000000001;7.15
4.800000000000001;7.1000000000000005
4.800000000000001;7.050000000000001
4.800000000000001;7.0
4.75;7.0
4.75;6.95
4.75;6.9
4.75;6.8500000000000005
4.7;6.8500000000000005
4.7;6.800000000000001
4.7;6.75
4.7;6.7
4.65;6.7
4.65;6.65
4.65;6.6000000000000005
4.65;6.550000000000001
4.6000000000000005;6.550000000000001
4.6000000000000005;6.5
4.6000000000000005;6.45
4.55;6.45
4.55;6.4
4.55;6.3500000000000005
4.5;6.3500000000000005
4.5;6.300000000000001
